PoliticalWing,SicCodeCategory,Count
Left,"Professional, scientific and technical activities",116
Left,Education,96
Left,Administrative and support service activities,49
Left,"Arts, entertainment and recreation",48
Left,Information and communication,48
Left,Financial and insurance activities,34
Left,Other service activities,30
Left,Human health and social work activities,28
Left,"Electricity, gas, steam and air conditioning supply",16
Left,Accommodation and food service activities,14
Left,Activities of extraterritorial organisations and bodies,10
Left,Real estate activities,8
Left,Wholesale and retail trade; repair of motor vehicles and motorcycles,8
Left,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,5
Left,Manufacturing,4
Left,"Agriculture, Forestry and Fishing",3
Left,Public administration and defence; compulsory social security,2
Left,Construction,2
Left,Transportation and storage,1
Right,"Professional, scientific and technical activities",230
Right,Administrative and support service activities,212
Right,Financial and insurance activities,120
Right,Real estate activities,113
Right,Education,106
Right,Information and communication,79
Right,Human health and social work activities,43
Right,Other service activities,41
Right,"Arts, entertainment and recreation",38
Right,Construction,35
Right,Activities of extraterritorial organisations and bodies,32
Right,Accommodation and food service activities,22
Right,Wholesale and retail trade; repair of motor vehicles and motorcycles,20
Right,Mining and Quarrying,17
Right,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,10
Right,"Electricity, gas, steam and air conditioning supply",5
Right,Manufacturing,5
Right,"Agriculture, Forestry and Fishing",3
Right,Public administration and defence; compulsory social security,3
Right,"Water supply, sewerage, waste management and remediation activities",2
Right,Transportation and storage,2
